brand,population,slice,day,n_users,n_cost_dates,sum_cum,actual_arpu,actual_ratio,actual_arpu_dstar,d_star,shape_ok,method,raw_goal_ratio,organic_share,adjusted_goal_ratio,ARPU_nominal,ARPU_at_horizon,frozen_shape,shape_signed_bias,shape_ae,shape_ape,level_signed_bias,level_ae,level_ape
lonestar,App,launch_week,14,2000,7,49178.57,24.589285,0.5722019291607842,42.97309,27,True,ls_web_donor,0.2889096012023405,0.33762183461493167,0.19136741160653803,14.145291772673694,48.96096119272585,0.7112201809975452,-0.1390182518367611,0.1390182518367611,0.19546443640248856,10.443993227326306,10.443993227326306,0.7383370661538654
lonestar,App,launch_week,21,2000,7,61299.960000000014,30.649980000000006,0.7132365859657754,42.97309,27,True,ls_web_donor,0.35675919955850816,0.33762183461493167,0.23630950408781012,17.467273324732055,48.96096119272585,0.8782482182197758,-0.1650116322540004,0.1650116322540004,0.1878872382895143,13.182706675267951,13.182706675267951,0.7547089021961114
lonestar,App,launch_day,1,208,1,3434.59,16.512451923076924,0.5639072684584695,29.28221153846154,33,True,rp_app_donor,0.10838131227675878,0.33762183461493167,0.07178941478790567,4.045430136018371,37.32590103437852,0.19856761451683147,0.36533965394163803,0.36533965394163803,1.8398753232273444,12.467021787058552,12.467021787058552,3.0817543173119666
lonestar,App,launch_day,3,208,1,5484.05,26.365625,0.9003973270724219,29.28221153846154,33,True,rp_app_donor,0.18782917087687767,0.33762183461493167,0.12441394161122474,7.010893043519708,37.32590103437852,0.3441256579589673,0.5562716691134546,0.5562716691134546,1.6164783306561321,19.354731956480293,19.354731956480293,2.760665700694181
lonestar,App,launch_day,7,208,1,5554.99,26.70668269230769,0.912044592575566,29.28221153846154,33,True,rp_app_donor,0.26707052723889046,0.33762183461493167,0.17690168586091917,9.968648068918117,37.32590103437852,0.48930536443551625,0.42273922814004977,0.42273922814004977,0.8639578857422501,16.738034623389574,16.738034623389574,1.6790676637063915
lonestar,App,launch_day,14,208,1,5984.85,28.77331730769231,0.9826210452000591,29.28221153846154,33,True,rp_app_donor,0.3461595061729403,0.33762183461493167,0.22928849862943343,12.920715469520509,37.32590103437852,0.6342058971159448,0.34841514808411433,0.34841514808411433,0.5493722932387327,15.8526018381718,15.8526018381718,1.2269136237515255
lonestar,App,launch_day,21,208,1,6054.76,29.10942307692308,0.994099200420313,29.28221153846154,33,True,rp_app_donor,0.4310964295429652,0.33762183461493167,0.28554886210472263,16.09106266539465,37.32590103437852,0.789820568166587,0.204278632253726,0.204278632253726,0.25863929161520655,13.01836041152843,13.01836041152843,0.8090429253952037
lonestar,App,launch_day,28,208,1,6075.7300000000005,29.210240384615386,0.9975421544321671,29.28221153846154,33,True,rp_app_donor,0.49783553310231726,0.33762183461493167,0.32975538707981034,18.582159839974164,37.32590103437852,0.9120946420856396,0.08544751234652748,0.08544751234652748,0.09368272589688617,10.628080544641222,10.628080544641222,0.5719507654744186
lonestar,App,launch_week,1,2000,7,12780.349999999999,6.390174999999999,0.1487017805794277,42.97309,27,True,rp_app_donor,0.10838131227675878,0.33762183461493167,0.07178941478790567,4.045430136018371,37.32590103437852,0.2207407673030289,-0.0720389867236012,0.0720389867236012,0.3263510750812395,2.344744863981628,2.344744863981628,0.5796033512246965
lonestar,App,launch_week,3,2000,7,21230.09,10.615045,0.24701609774861433,42.97309,27,True,rp_app_donor,0.18782917087687767,0.33762183461493167,0.12441394161122474,7.010893043519708,37.32590103437852,0.3825526230516467,-0.1355365253030324,0.1355365253030324,0.3542951142821839,3.604151956480292,3.604151956480292,0.5140788675718956
