brand,population,patch,n_cohort_dates,n_users,cv_before,cv_after,existing_flagged_status,mean,std,median,MAD,relative_mad_raw,scaled_mad_cv,p10,p25,p75,p90,IQR,relative_IQR,p90_p10_ratio,relative_p10_p90_spread,p10_ratio_valid,median_denominator_valid,std_log,log_p90_p10_spread,pct_positive_for_log,n_excluded_from_log,skewness,is_focus_case,cv_percentile_within_patch,rmad_percentile_within_patch,riqr_percentile_within_patch,p10_p90_percentile_within_patch,log_dispersion_percentile_within_patch,tail_sensitivity_signal,cv_minus_rmad_rank,cv_minus_log_rank,diagnostic_interpretation
realprize,Blended,1->7,30,72450,0.27784995498601617,0.19202002056589995,True,2.308281285656935,0.42076432947567943,2.233402990882106,0.31700995841704627,0.14194033038875795,0.2104407338343725,1.8339465723671962,1.9587387658928486,2.6818113928145495,2.9361710294594476,0.7230726269217009,0.3237537649379236,1.6010123052110168,0.4935179461978406,True,True,0.1782234425800731,0.47063611993820575,1.0,0,0.5436394437379748,True,0.42857142857142855,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5714285714285714,-0.14285714285714285,-0.14285714285714285,-0.14285714285714285,CV is high in absolute terms but relatively normal compared with other populations in the same maturity patch.
realprize,Blended,7->14,30,73413,0.13313703494348675,0.10073197952669712,False,1.3932102533936128,0.135941586519451,1.388155764016882,0.08398260964796711,0.06049941355640674,0.08969643053872862,1.2387311194635517,1.304785106450319,1.4691465026032193,1.6160316347080672,0.16436139615290024,0.11840270408652884,1.3045862894022637,0.27179984049680966,True,True,0.09641897051271757,0.2658859708981921,1.0,0,0.4495933633846058,False,0.5714285714285714,0.2857142857142857,0.2857142857142857,0.5714285714285714,0.42857142857142855,0.2857142857142857,0.2857142857142857,0.14285714285714285,High CV but relatively concentrated central distribution; tails appear important.
realprize,Blended,14->30,31,72293,0.16758236840157628,0.09860526380074698,False,1.4624858513345147,0.1418107917383548,1.4060543662738554,0.10505340671285524,0.07471503892929424,0.11077251671657162,1.2967598355372945,1.3603627533626717,1.5593517838269957,1.6559073637500459,0.19898903046432403,0.1415229988522131,1.276957628059126,0.2554293324834359,True,True,0.09502030973072488,0.24448039565348922,1.0,0,0.6036830594317986,False,0.42857142857142855,0.7142857142857143,0.42857142857142855,0.42857142857142855,0.5714285714285714,0.0,-0.28571428571428575,-0.14285714285714285,Distribution appears broadly stable relative to peers (or not in high-CV focus).
realprize,Blended,30->60,31,60391,0.1928882310790579,0.08518026383865561,False,1.4080127555315487,0.1236450427349605,1.3842287832603317,0.06485891307868163,0.046855630993250075,0.06946815851059254,1.2737216176475596,1.3296410951011737,1.452354289748535,1.5459271320529155,0.12271319464736141,0.08865094855080959,1.2137087968312048,0.196647777952008,True,True,0.08441436145345818,0.19368079304920777,1.0,0,1.2052071542852871,False,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.0,0.0,Distribution appears broadly stable relative to peers (or not in high-CV focus).
realprize,Blended,60->90,32,55211,0.1429633570252636,0.09438650481737293,False,1.274626823910364,0.12273133781645841,1.2557280266044188,0.10537786734314114,0.08391774740274824,0.12441645229931453,1.1147043340073188,1.1633830852459128,1.3711594131913754,1.4504202364626493,0.20777632794546252,0.16546284190797672,1.3011703572089335,0.2673476225286864,True,True,0.09574755692627816,0.26326413423931594,1.0,0,0.2943977365832387,False,0.5714285714285714,1.0,1.0,0.7142857142857143,0.5714285714285714,-0.4285714285714286,-0.4285714285714286,0.0,Distribution appears broadly stable relative to peers (or not in high-CV focus).
realprize,Blended,90->120,34,57773,0.11328920156692315,0.09075786872952178,False,1.1897657777590604,0.11129829188607956,1.1582038129813492,0.07148757857363763,0.06172279677582862,0.0915102184998435,1.0821938132409332,1.0894761843494303,1.259509614834801,1.3605249697157276,0.17003343048537078,0.14680786626637438,1.257191598278735,0.24031276132508844,True,True,0.09094146844505617,0.22888034303534238,1.0,0,0.8000759818873401,False,0.7142857142857143,0.5714285714285714,0.7142857142857143,0.8571428571428571,0.8571428571428571,0.0,0.1428571428571429,-0.1428571428571428,Distribution appears broadly stable relative to peers (or not in high-CV focus).
realprize,Blended,120->150,35,55165,0.04143681744439273,0.04143681744439273,False,1.1056862949955581,0.046711556563106445,1.1047980262596815,0.030920120148735908,0.02798712471764334,0.04149371110637801,1.053511132956246,1.0650171029181639,1.1285587496910174,1.1705293246718245,0.06354164677285357,0.05751426528881051,1.1110744709334157,0.10591817593279568,True,True,0.04164821524977978,0.1053275389541749,1.0,0,0.8126324721944763,False,0.14285714285714285,0.2857142857142857,0.2857142857142857,0.14285714285714285,0.14285714285714285,-0.14285714285714285,-0.14285714285714285,0.0,Distribution appears broadly stable relative to peers (or not in high-CV focus).
realprize,Blended,150->180,35,65086,0.0533103655497895,0.0533103655497895,False,1.1103667890576159,0.06030046015182833,1.1000295374853182,0.03180955994028767,0.028917005276971684,0.04287235202363822,1.0521357002118124,1.0672112437623835,1.1191375489549436,1.2006043248156886,0.05192630519256003,0.04720446444671317,1.1411116689358483,0.1349678527208255,True,True,0.052616514378241414,0.13200293544761726,1.0,0,1.3843626031155567,False,0.5714285714285714,0.2857142857142857,0.2857142857142857,0.5714285714285714,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,High CV but relatively concentrated central distribution; tails appear important. Strong right skew; original-scale CV appears more sensitive than log-scale dispersion.
realprize,Blended,180->270,31,78724,0.1352928867087603,0.09745262054937798,False,1.2497599344331083,0.10950769177497824,1.238364509557744,0.06498263189385,0.05247455930165278,0.07779878162063042,1.108777972694073,1.1726558919930465,1.299406016026083,1.4312499248685364,0.12675012403303643,0.10235283961610186,1.2908354604041523,0.2604014808932368,True,True,0.08622905876843828,0.25528965246703894,1.0,0,0.5499299651052559,False,0.5714285714285714,0.5714285714285714,0.42857142857142855,0.5714285714285714,0.2857142857142857,0.14285714285714285,0.0,0.2857142857142857,Original-scale CV high relative to log-scale dispersion; variability may be multiplicative / asymmetric.
realprize,Blended,270->365,35,117016,0.07436823767402696,0.07436823767402696,False,1.2117932293407436,0.09010486186917152,1.189151787784631,0.056703310971170984,0.04768382939305693,0.0706960454581462,1.1201886140816164,1.1430823255291709,1.2727603264620444,1.351628472195015,0.12967800093287352,0.10905083965307857,1.2066079365599907,0.1946260019039007,True,True,0.0731381280206879,0.18781306462595723,1.0,0,0.5931785514869208,False,0.14285714285714285,0.5714285714285714,0.5714285714285714,0.2857142857142857,0.14285714285714285,-0.42857142857142855,-0.42857142857142855,0.0,Distribution appears broadly stable relative to peers (or not in high-CV focus).
lonestar,Web,1->7,30,19978,0.43933974924434294,0.31600223030415125,True,2.6938302976523505,0.7553542261309424,2.7761435418304536,0.4364069051905448,0.15719896994331906,0.23306319283796484,1.6016685718990429,2.1307250561769524,3.167785223416999,3.542114154047983,1.0370601672400466,0.373561435716058,2.2115150513618564,0.6989716320178117,True,True,0.3064470793497059,0.7936778242546356,1.0,0,-0.10821526878231821,True,1.0,0.7142857142857143,0.7142857142857143,1.0,1.0,0.2857142857142857,0.2857142857142857,0.0,High CV and high central dispersion; variability appears broad rather than tail-driven.
lonestar,Web,7->14,30,21937,0.2168657597642927,0.14239194875971686,False,1.3693539008177968,0.20488035401289156,1.3325527931333865,0.16922121837885673,0.126990254533141,0.18827575137083483,1.1248616048838995,1.200345830209661,1.5286424517503532,1.6448700437860198,0.32829662154069217,0.2463666904849076,1.462286592985625,0.3902347746233482,True,True,0.14788660567149334,0.3800013701505456,1.0,0,0.37585832134741054,False,0.8571428571428571,1.0,1.0,0.8571428571428571,1.0,-0.1428571428571429,-0.1428571428571429,-0.1428571428571429,High CV and high central dispersion; variability appears broad rather than tail-driven.
