brand,population,patch,cohort_date,n_users_from_patch,sum_cum_s,sum_cum_e,ARPU_s,ARPU_e,cohort_metric_used_for_cv,abs_dev,distance_from_mean,distance_from_median,percentile_rank,was_removed_by_existing_trim,n_users,total_revenue,n_payers,payer_rate,ARPPU,max_user_revenue,top1_user_revenue_share,top5_users_revenue_share,pct_users_zero_revenue,pct_users_near_zero_revenue
realprize,Blended,1->7,2026-07-04,1951,6636.13,10863.15,3.401399282419272,5.56799077396207,1.6369706440350023,0.8035971160241158,-0.8035971160241158,-0.6121362732787523,0.05714285714285714,True,1951,10863.15,327,0.16760635571501795,33.22064220183486,759.79,0.06994195974464129,0.2150932280231793,0.8323936442849821,0.8323936442849821
realprize,Blended,1->7,2026-07-05,2073,15526.95,28607.149999999998,7.490086830680174,13.799879401833092,1.8424191486415553,0.5981486114175627,-0.5981486114175627,-0.40668776867219925,0.17142857142857143,False,2073,28607.149999999994,299,0.14423540762180415,95.67608695652171,5199.91,0.18176959256689326,0.5184130540791376,0.8557645923781958,0.8557645923781958
realprize,Blended,1->7,2026-07-06,2073,11647.67,30661.85,5.6187506029908345,14.791051616015435,2.632444943924407,0.19187718386528907,0.19187718386528907,0.3833380266106525,0.6857142857142857,False,2073,30661.850000000006,295,0.14230583695127835,103.9384745762712,18139.73,0.5916058554849103,0.6678106506945926,0.8576941630487217,0.8576941630487217
realprize,Blended,1->7,2026-07-07,2055,11878.710000000001,20879.13,5.780394160583942,10.160160583941606,1.7576933858979635,0.6828743741611545,-0.6828743741611545,-0.491413531415791,0.14285714285714285,False,2055,20879.129999999997,285,0.1386861313868613,73.26010526315788,6232.88,0.2985220169614347,0.5020534859450562,0.8613138686131386,0.8613138686131386
realprize,Blended,1->7,2026-07-08,1975,14831.02,40018.05,7.509377215189874,20.262303797468356,2.6982668757779305,0.25769911571881243,0.25769911571881243,0.4491599584641759,0.7142857142857143,False,1975,40018.049999999996,268,0.13569620253164558,149.32108208955222,5259.68,0.13143269099818708,0.5018887726913231,0.8643037974683544,0.8643037974683544
realprize,Blended,1->7,2026-07-09,1917,11157.28,23519.09,5.820177360459051,12.268695878977569,2.107959108313137,0.3326086517459812,-0.3326086517459812,-0.14114780900061774,0.4,False,1917,23519.089999999997,274,0.1429316640584246,85.83609489051094,5316.87,0.2260661445659675,0.365217786912674,0.8570683359415754,0.8570683359415754
realprize,Blended,1->7,2026-07-10,1697,27928.43,88505.17,16.457530936947556,52.15390100176783,3.1689991166707183,0.7284313566116003,0.7284313566116003,0.9198921993569638,0.9142857142857143,False,1697,88505.17000000001,245,0.14437242192103714,361.2455918367347,33248.68,0.3756693535530184,0.7638767317208701,0.8556275780789628,0.8556275780789628
realprize,Blended,1->7,2026-07-11,1910,7722.84,19382.23,4.043371727748691,10.147764397905759,2.5097282864852826,0.06916052642616455,0.06916052642616455,0.260621369171528,0.6571428571428571,False,1910,19382.23,242,0.12670157068062826,80.09185950413223,2564.78,0.13232636285917565,0.2770305584032384,0.8732984293193717,0.8732984293193717
realprize,Blended,1->7,2026-07-12,1945,10640.86,33734.03,5.470879177377892,17.343974293059127,3.1702353005302206,0.7296675404711026,0.7296675404711026,0.9211283832164661,0.9428571428571428,True,1945,33734.03,226,0.11619537275064268,149.26561946902655,9069.89,0.2688647042763642,0.6032810191963427,0.8838046272493574,0.8838046272493574
realprize,Blended,1->7,2026-07-13,2655,17009.29,45898.409999999996,6.406512241054615,17.28753672316384,2.6984318569440573,0.2578640968849393,0.2578640968849393,0.44932493963030273,0.7428571428571429,False,2655,45898.409999999996,283,0.10659133709981168,162.18519434628973,11694.83,0.2547981509599134,0.5373817960142847,0.8934086629001883,0.8934086629001883
